,ID,Sentence,Condition,Attractor,Target,ilm_sent_mean_surp,ilm_target_mean_surp,ilm_sent_b-a,ilm_sent_d-b,ilm_sent_c-a,ilm_sent_d-c,ilm_target_b-a,ilm_target_d-b,ilm_target_c-a,ilm_target_d-c,gptneo_sent_mean_surp,gptneo_target_mean_surp,gptneo_sent_b-a,gptneo_sent_d-b,gptneo_sent_c-a,gptneo_sent_d-c,gptneo_target_b-a,gptneo_target_d-b,gptneo_target_c-a,gptneo_target_d-c,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,distilgpt2_sent_b-a,distilgpt2_sent_d-b,distilgpt2_sent_c-a,distilgpt2_sent_d-c,distilgpt2_target_b-a,distilgpt2_target_d-b,distilgpt2_target_c-a,distilgpt2_target_d-c
0,1,The manor house was always very busy. Sue remembered the plate that the butler with the cup accidently shattered today in the dining room. The owner of the house was not impressed.,a,cup,shattered,4.38,12.33,0.09,,,,1.04,,,,4.18,9.72,0.01,,,,0.62,,,,4.83,10.43,0.0,,,,0.27,,,
1,1,The manor house was always very busy. Sue remembered the plate that the butler with the tie accidently shattered today in the dining room. The owner of the house was not impressed.,b,tie,shattered,4.47,13.37,,0.04,,,,3.98,,,4.19,10.34,,0.06,,,,6.8,,,4.83,10.7,,0.09,,,,2.08,,
2,1,The manor house was always very busy. Sue remembered the letter that the butler with the cup accidently shattered today in the dining room. The owner of the house was not impressed.,c,cup,shattered,4.45,16.24,,,0.07,,,,3.91,,4.25,16.07,,,0.07,,,,6.35,,4.93,12.63,,,0.1,,,,2.2,
3,1,The manor house was always very busy. Sue remembered the letter that the butler with the tie accidently shattered today in the dining room. The owner of the house was not impressed.,d,tie,shattered,4.51,17.35,,,,0.06,,,,1.11,4.25,17.14,,,,0.0,,,,1.07,4.92,12.78,,,,-0.01,,,,0.15
4,2,It was getting quite late in the forest. John noticed the tent that the camper by the chair very quietly moved before going off to sleep. It was going to be a quiet night.,a,chair,moved,3.99,5.66,-0.11,,,,0.82,,,,3.59,5.32,-0.19,,,,-0.03,,,,4.28,5.69,-0.01,,,,0.79,,,
5,2,It was getting quite late in the forest. John noticed the tent that the camper by the river very quietly moved before going off to sleep. It was going to be a quiet night.,b,river,moved,3.88,6.48,,0.05,,,,0.29,,,3.4,5.29,,0.04,,,,0.43,,,4.27,6.48,,0.02,,,,-0.42,,
6,2,It was getting quite late in the forest. John noticed the tree that the camper by the chair very quietly moved before going off to sleep. It was going to be a quiet night.,c,chair,moved,4.02,5.68,,,0.03,,,,0.02,,3.61,5.39,,,0.02,,,,0.07,,4.31,5.42,,,0.03,,,,-0.27,
7,2,It was getting quite late in the forest. John noticed the tree that the camper by the river very quietly moved before going off to sleep. It was going to be a quiet night.,d,river,moved,3.93,6.77,,,,-0.09,,,,1.09,3.44,5.72,,,,-0.17,,,,0.33,4.29,6.06,,,,-0.02,,,,0.64
8,3,It was another beautiful day in the field. Jane saw the tree that the lady by the flowers thoughtfully planted a number of years earlier. There was time to appreciate everything that day.,a,flowers,planted,4.35,4.37,-0.04,,,,0.58,,,,3.98,5.53,-0.11,,,,0.11,,,,4.65,6.84,-0.05,,,,1.39,,,
9,3,It was another beautiful day in the field. Jane saw the tree that the lady by the fence thoughtfully planted a number of years earlier. There was time to appreciate everything that day.,b,fence,planted,4.31,4.95,,0.13,,,,3.58,,,3.87,5.64,,0.21,,,,3.44,,,4.6,8.23,,0.11,,,,2.48,,
10,3,It was another beautiful day in the field. Jane saw the tent that the lady by the flowers thoughtfully planted a number of years earlier. There was time to appreciate everything that day.,c,flowers,planted,4.47,7.4,,,0.12,,,,3.03,,4.09,8.14,,,0.11,,,,2.61,,4.83,9.33,,,0.18,,,,2.49,
11,3,It was another beautiful day in the field. Jane saw the tent that the lady by the fence thoughtfully planted a number of years earlier. There was time to appreciate everything that day.,d,fence,planted,4.44,8.53,,,,-0.03,,,,1.13,4.08,9.08,,,,-0.01,,,,0.94,4.71,10.71,,,,-0.12,,,,1.38
12,4,The kitchen was a difficult place to work in. Jim saw the chicken that the chef by the food very expertly cooked despite all of the pressure. The diners were in for a treat.,a,food,cooked,4.06,2.0,-0.05,,,,0.34,,,,3.97,3.71,-0.07,,,,1.59,,,,4.51,6.69,-0.02,,,,0.93,,,
13,4,The kitchen was a difficult place to work in. Jim saw the chicken that the chef by the sink very expertly cooked despite all of the pressure. The diners were in for a treat.,b,sink,cooked,4.01,2.34,,-0.11,,,,4.52,,,3.9,5.3,,-0.05,,,,5.56,,,4.49,7.62,,-0.08,,,,2.02,,
14,4,The kitchen was a difficult place to work in. Jim saw the cutlery that the chef by the food very expertly cooked despite all of the pressure. The diners were in for a treat.,c,food,cooked,3.95,5.34,,,-0.11,,,,3.34,,3.9,9.46,,,-0.07,,,,5.75,,4.42,8.42,,,-0.09,,,,1.73,
15,4,The kitchen was a difficult place to work in. Jim saw the cutlery that the chef by the sink very expertly cooked despite all of the pressure. The diners were in for a treat.,d,sink,cooked,3.9,6.86,,,,-0.05,,,,1.52,3.85,10.86,,,,-0.05,,,,1.4,4.41,9.64,,,,-0.01,,,,1.22
16,5,The countryside was really pretty. Vicky noticed the corn that the farmer by the crops very recently harvested with a big new tractor. There was lots of work still to be done.,a,crops,harvested,4.24,4.54,-0.1,,,,0.27,,,,4.16,3.41,-0.07,,,,0.8,,,,4.68,6.81,-0.09,,,,1.65,,,
17,5,The countryside was really pretty. Vicky noticed the corn that the farmer by the fence very recently harvested with a big new tractor. There was lots of work still to be done.,b,fence,harvested,4.14,4.81,,0.36,,,,11.94,,,4.09,4.21,,0.3,,,,10.2,,,4.59,8.46,,0.19,,,,6.53,,
18,5,The countryside was really pretty. Vicky noticed the gate that the farmer by the crops very recently harvested with a big new tractor. There was lots of work still to be done.,c,crops,harvested,4.54,12.56,,,0.3,,,,8.02,,4.37,11.2,,,0.21,,,,7.79,,4.85,12.17,,,0.17,,,,5.36,
19,5,The countryside was really pretty. Vicky noticed the gate that the farmer by the fence very recently harvested with a big new tractor. There was lots of work still to be done.,d,fence,harvested,4.5,16.75,,,,-0.04,,,,4.19,4.39,14.41,,,,0.02,,,,3.21,4.78,14.99,,,,-0.07,,,,2.82
20,6,It's difficult to get home during rush hour. Pauline saw the van that the man by the car very carefully drove despite all the bad traffic. It took hours to get back to the house.,a,car,drove,3.91,4.71,0.18,,,,0.51,,,,3.72,3.78,0.12,,,,0.35,,,,4.15,5.82,0.15,,,,0.62,,,
21,6,It's difficult to get home during rush hour. Pauline saw the van that the man by the bin very carefully drove despite all the bad traffic. It took hours to get back to the house.,b,bin,drove,4.09,5.22,,0.04,,,,4.8,,,3.84,4.13,,0.17,,,,6.87,,,4.3,6.44,,0.05,,,,3.95,,
22,6,It's difficult to get home during rush hour. Pauline saw the box that the man by the car very carefully drove despite all the bad traffic. It took hours to get back to the house.,c,car,drove,3.96,8.61,,,0.05,,,,3.9,,3.88,9.4,,,0.16,,,,5.62,,4.22,8.27,,,0.07,,,,2.45,
23,6,It's difficult to get home during rush hour. Pauline saw the box that the man by the bin very carefully drove despite all the bad traffic. It took hours to get back to the house.,d,bin,drove,4.13,10.02,,,,0.17,,,,1.41,4.01,11.0,,,,0.13,,,,1.6,4.35,10.39,,,,0.13,,,,2.12
24,7,A serious crime had been committed. Gregory remembered the diamond that the robber with the money very secretly stole late at night last week. The police were on the case.,a,money,stole,4.53,4.75,0.24,,,,0.98,,,,4.23,5.65,0.13,,,,-0.6,,,,4.87,4.18,0.33,,,,1.36,,,
25,7,A serious crime had been committed. Gregory remembered the diamond that the robber with the cough very secretly stole late at night last week. The police were on the case.,b,cough,stole,4.77,5.73,,-0.38,,,,0.02,,,4.36,5.05,,-0.13,,,,2.2,,,5.2,5.54,,-0.49,,,,-1.01,,
26,7,A serious crime had been committed. Gregory remembered the house that the robber with the money very secretly stole late at night last week. The police were on the case.,c,money,stole,4.39,5.75,,,-0.14,,,,1.0,,4.23,7.25,,,0.0,,,,1.6,,4.71,4.53,,,-0.16,,,,0.35,
27,7,A serious crime had been committed. Gregory remembered the house that the robber with the money very secretly stole late at night last week. The police were on the case.,d,money,stole,4.39,5.75,,,,0.0,,,,0.0,4.23,7.25,,,,0.0,,,,0.0,4.71,4.53,,,,0.0,,,,0.0
28,8,There was lots to do in the classroom. Jessica liked the poem that the student with the script passionately recited a few hours ago today. It was a busy time at school.,a,script,recited,4.19,3.06,-0.07,,,,0.15,,,,4.11,2.27,-0.08,,,,0.38,,,,4.44,3.87,0.01,,,,-0.04,,,
29,8,There was lots to do in the classroom. Jessica liked the poem that the student with the pencil passionately recited a few hours ago today. It was a busy time at school.,b,pencil,recited,4.12,3.21,,0.03,,,,1.4,,,4.03,2.65,,0.28,,,,2.82,,,4.45,3.83,,-0.09,,,,1.0,,
30,8,There was lots to do in the classroom. Jessica liked the pen that the student with the script passionately recited a few hours ago today. It was a busy time at school.,c,script,recited,4.24,4.13,,,0.05,,,,1.07,,4.31,3.49,,,0.2,,,,1.22,,4.46,4.62,,,0.02,,,,0.75,
31,8,There was lots to do in the classroom. Jessica liked the pen that the student with the pencil passionately recited a few hours ago today. It was a busy time at school.,d,pencil,recited,4.15,4.61,,,,-0.09,,,,0.48,4.31,5.47,,,,0.0,,,,1.98,4.36,4.83,,,,-0.1,,,,0.21
32,9,It got quite cold in the wilderness. Matthew remembered the wood that the man by the tree quite expertly chopped to help build a fire. It really helped warm things up at night.,a,tree,chopped,4.56,7.16,0.03,,,,0.29,,,,4.14,4.63,0.0,,,,-0.11,,,,4.99,8.84,0.13,,,,0.76,,,
33,9,It got quite cold in the wilderness. Matthew remembered the wood that the man by the lake quite expertly chopped to help build a fire. It really helped warm things up at night.,b,lake,chopped,4.59,7.45,,0.14,,,,3.56,,,4.14,4.52,,0.23,,,,5.31,,,5.12,9.6,,0.12,,,,2.54,,
34,9,It got quite cold in the wilderness. Matthew remembered the pond that the man by the tree quite expertly chopped to help build a fire. It really helped warm things up at night.,c,tree,chopped,4.71,10.25,,,0.15,,,,3.09,,4.37,9.92,,,0.23,,,,5.29,,5.17,10.91,,,0.18,,,,2.07,
35,9,It got quite cold in the wilderness. Matthew remembered the pond that the man by the lake quite expertly chopped to help build a fire. It really helped warm things up at night.,d,lake,chopped,4.73,11.01,,,,0.02,,,,0.76,4.37,9.83,,,,0.0,,,,-0.09,5.24,12.14,,,,0.07,,,,1.23
36,10,There was a lot to do at the company. Bernadette saw the email that the manager with the report very hastily wrote earlier in a real hurry. There were going to be some changes at work.,a,report,wrote,4.2,4.52,-0.1,,,,0.32,,,,3.88,3.88,-0.06,,,,0.34,,,,4.42,5.06,-0.06,,,,0.74,,,
37,10,There was a lot to do at the company. Bernadette saw the email that the manager with the office very hastily wrote earlier in a real hurry. There were going to be some changes at work.,b,office,wrote,4.1,4.84,,0.21,,,,2.9,,,3.82,4.22,,0.1,,,,2.12,,,4.36,5.8,,0.08,,,,3.16,,
38,10,There was a lot to do at the company. Bernadette saw the laptop that the manager with the report very hastily wrote earlier in a real hurry. There were going to be some changes at work.,c,report,wrote,4.35,5.96,,,0.15,,,,1.44,,3.98,4.87,,,0.1,,,,0.99,,4.51,6.62,,,0.09,,,,1.56,
39,10,There was a lot to do at the company. Bernadette saw the laptop that the manager with the office very hastily wrote earlier in a real hurry. There were going to be some changes at work.,d,office,wrote,4.31,7.74,,,,-0.04,,,,1.78,3.92,6.34,,,,-0.06,,,,1.47,4.44,8.96,,,,-0.07,,,,2.34
40,11,It was certainly a nice place to live. Mary noticed the garage that the couple by the house very cleverly built a couple of years earlier. It had been quite a task.,a,house,built,4.02,2.92,0.04,,,,0.13,,,,3.63,3.57,0.07,,,,0.09,,,,4.16,3.32,0.11,,,,0.62,,,
41,11,It was certainly a nice place to live. Mary noticed the garage that the couple by the tree very cleverly built a couple of years earlier. It had been quite a task.,b,tree,built,4.06,3.05,,0.05,,,,5.45,,,3.7,3.66,,0.21,,,,6.89,,,4.27,3.94,,0.07,,,,3.56,,
42,11,It was certainly a nice place to live. Mary noticed the flower that the couple by the house very cleverly built a couple of years earlier. It had been quite a task.,c,house,built,4.11,8.52,,,0.09,,,,5.6,,3.92,10.29,,,0.29,,,,6.72,,4.26,6.56,,,0.1,,,,3.24,
43,11,It was certainly a nice place to live. Mary noticed the flower that the couple by the tree very cleverly built a couple of years earlier. It had been quite a task.,d,tree,built,4.11,8.5,,,,0.0,,,,-0.02,3.91,10.55,,,,-0.01,,,,0.26,4.34,7.5,,,,0.08,,,,0.94
44,12,The summer was very warm that year. Nigel saw the daffodil that the guy near the rose very happily watered as the sun shone brightly. It really was very hot outside.,a,rose,watered,4.74,13.06,-0.13,,,,1.6,,,,4.12,9.89,-0.12,,,,0.37,,,,5.2,18.63,-0.16,,,,-2.67,,,
45,12,The summer was very warm that year. Nigel saw the daffodil that the guy near the door very happily watered as the sun shone brightly. It really was very hot outside.,b,door,watered,4.61,14.66,,0.17,,,,-1.14,,,4.0,10.26,,0.48,,,,2.95,,,5.04,15.96,,0.23,,,,0.34,,
46,12,The summer was very warm that year. Nigel saw the pavement that the guy near the rose very happily watered as the sun shone brightly. It really was very hot outside.,c,rose,watered,4.96,13.11,,,0.22,,,,0.05,,4.65,11.91,,,0.53,,,,2.02,,5.51,19.66,,,0.31,,,,1.03,
47,12,The summer was very warm that year. Nigel saw the pavement that the guy near the door very happily watered as the sun shone brightly. It really was very hot outside.,d,door,watered,4.78,13.52,,,,-0.18,,,,0.41,4.48,13.21,,,,-0.17,,,,1.3,5.27,16.3,,,,-0.24,,,,-3.36
48,13,The supermarket was always very busy. Monica saw the trolley that the man by the cart quite hastily pushed while looking for some food. Some people have very little patience.,a,cart,pushed,4.85,7.68,0.01,,,,0.64,,,,4.51,3.3,0.0,,,,0.14,,,,5.21,8.2,-0.05,,,,0.11,,,
49,13,The supermarket was always very busy. Monica saw the trolley that the man by the shop quite hastily pushed while looking for some food. Some people have very little patience.,b,shop,pushed,4.86,8.32,,0.15,,,,2.2,,,4.51,3.44,,0.52,,,,3.1,,,5.16,8.31,,0.13,,,,0.73,,
50,13,The supermarket was always very busy. Monica saw the building that the man by the cart quite hastily pushed while looking for some food. Some people have very little patience.,c,cart,pushed,5.02,9.11,,,0.17,,,,1.43,,4.95,5.19,,,0.44,,,,1.89,,5.37,8.13,,,0.16,,,,-0.07,
51,13,The supermarket was always very busy. Monica saw the building that the man by the shop quite hastily pushed while looking for some food. Some people have very little patience.,d,shop,pushed,5.01,10.52,,,,-0.01,,,,1.41,5.03,6.54,,,,0.08,,,,1.35,5.29,9.04,,,,-0.08,,,,0.91
52,14,The restaurant had some very good reviews. Julia saw the bread that the lady with the meal quite happily ate during an expensive night out. Sometimes good food can cost a lot.,a,meal,ate,4.5,2.44,-0.04,,,,1.12,,,,4.72,4.92,-0.17,,,,0.38,,,,4.71,3.44,0.0,,,,0.26,,,
53,14,The restaurant had some very good reviews. Julia saw the bread that the lady with the wine quite happily ate during an expensive night out. Sometimes good food can cost a lot.,b,wine,ate,4.46,3.56,,0.04,,,,2.21,,,4.55,5.3,,0.1,,,,5.11,,,4.71,3.7,,-0.01,,,,0.82,,
54,14,The restaurant had some very good reviews. Julia saw the beer that the lady with the meal quite happily ate during an expensive night out. Sometimes good food can cost a lot.,c,meal,ate,4.54,4.67,,,0.04,,,,2.23,,4.77,9.11,,,0.05,,,,4.19,,4.72,3.98,,,0.01,,,,0.54,
55,14,The restaurant had some very good reviews. Julia saw the beer that the lady with the wine quite happily ate during an expensive night out. Sometimes good food can cost a lot.,d,wine,ate,4.5,5.77,,,,-0.04,,,,1.1,4.65,10.41,,,,-0.12,,,,1.3,4.7,4.52,,,,-0.02,,,,0.54
56,15,Sometimes things happen by mistake. Warren noticed the glass that the girl by the tiles accidently cracked earlier near the kitchen sink. It wasn't really anybody's fault.,a,tiles,cracked,4.71,8.48,0.08,,,,1.0,,,,4.53,7.54,0.0,,,,-0.64,,,,4.99,7.9,0.22,,,,1.5,,,
57,15,Sometimes things happen by mistake. Warren noticed the glass that the girl by the food accidently cracked earlier near the kitchen sink. It wasn't really anybody's fault.,b,food,cracked,4.79,9.48,,0.11,,,,4.29,,,4.53,6.9,,0.18,,,,10.31,,,5.21,9.4,,0.04,,,,2.87,,
58,15,Sometimes things happen by mistake. Warren noticed the shirt that the girl by the tiles accidently cracked earlier near the kitchen sink. It wasn't really anybody's fault.,c,tiles,cracked,4.8,12.92,,,0.09,,,,4.44,,4.72,16.79,,,0.19,,,,9.25,,5.11,11.39,,,0.12,,,,3.49,
59,15,Sometimes things happen by mistake. Warren noticed the shirt that the girl by the food accidently cracked earlier near the kitchen sink. It wasn't really anybody's fault.,d,food,cracked,4.9,13.77,,,,0.1,,,,0.85,4.71,17.21,,,,-0.01,,,,0.42,5.25,12.27,,,,0.14,,,,0.88
60,16,The lobby was starting to get busy. Hillary remembered the shirt that the teenager with the hat very happily wore during a big night out. A group of friends had gone to the cinema.,a,hat,wore,4.35,1.33,0.06,,,,0.33,,,,4.23,3.95,0.15,,,,0.75,,,,4.7,1.84,0.09,,,,2.02,,,
61,16,The lobby was starting to get busy. Hillary remembered the shirt that the teenager with the pen very happily wore during a big night out. A group of friends had gone to the cinema.,b,pen,wore,4.41,1.66,,0.11,,,,5.15,,,4.38,4.7,,0.21,,,,6.16,,,4.79,3.86,,0.04,,,,4.58,,
